# 331 NSE-listed companies: 300 coverage names grouped by sector, plus 31
# non-coverage PE holdings. A firm is tagged only if it (or a known vehicle)
# is still a named holder on the latest BSE pattern, after block/bulk deals.
#
# Coverage symbols were resolved by ISIN through BSE's scrip master and NSE's
# own equity list, then confirmed to price on Yahoo and to carry a BSE scrip
# code for shareholding lookups.
#
# BSE is excluded: it carries no BSE scrip code, so shareholding cannot be
# fetched. NSDL is excluded as a BSE-only listing with no .NS series. CDSL is
# watched only as a non-coverage PE name; its shareholding still cannot be
# fetched.
#
# One NSE symbol per line, then the display name used in alerts.
# Non-coverage lines add `| noncoverage | Firm; Firm`.
# Comment a line out with # to stop watching it without losing it.

# --- Agri (4) ---
COROMANDEL  , Coromandel International
PIIND       , PI Industries
PARADEEP    , Paradeep Phosphates
UPL         , UPL

# --- Alcobev (5) ---
ABDL        , Allied Blenders & Distillers
RADICO      , Radico Khaitan
TI          , Tilaknagar Industries
UBL         , United Breweries
UNITDSPR    , United Spirits

# --- Auto OEM (10) ---
ASHOKLEY    , Ashok Leyland
ATHERENERG  , Ather Energy
BAJAJ-AUTO  , Bajaj Auto
EICHERMOT   , Eicher Motors
ESCORTS     , Escorts Kubota
HEROMOTOCO  , Hero Motocorp
HYUNDAI     , Hyundai Motor India
M&M         , Mahindra & Mahindra
MARUTI      , Maruti Suzuki India
TVSMOTOR    , TVS Motor Company

# --- Auto ancs (18) ---
ARE&M       , Amara Raja Energy & Mobility
APOLLOTYRE  , Apollo Tyres
BHARATFORG  , Bharat Forge
CEATLTD     , CEAT
CRAFTSMAN   , Craftsman Automation
ENDURANCE   , Endurance Technologies
EXIDEIND    , Exide Industries
SKFINDUS    , SKF India (Industrial)
SKFINDIA    , SKF India Ltd
SANSERA     , Sansera Engineering
SCHAEFFLER  , Schaeffler India
SEDEMAC     , Sedemac Mechatronics
SONACOMS    , Sona BLW Precision Forgings
SUNDRMFAST  , Sundram Fasteners
TIMKEN      , Timken India
TIINDIA     , Tube Investments of India
UNOMINDA    , UNO Minda
ZFCVINDIA   , ZF Commercial Vehicle Control Systems India

# --- Aviation (1) ---
INDIGO      , InterGlobe Aviation

# --- Banks (14) ---
AUBANK      , AU Small Finance Bank
AXISBANK    , Axis Bank
BANKBARODA  , Bank of Baroda
CANBK       , Canara Bank
CUB         , City Union Bank
FEDERALBNK  , Federal Bank
HDFCBANK    , HDFC Bank
